11710	SWINE (PIGS)	
11711	CATTLE	COWS-LACTATING
11713	CATTLE	BEEF CATTLE
11713	CATTLE	BULLS
11713	CATTLE	CALVES
11713	CATTLE	COWS-DRY
11713	CATTLE	REPLACEMENT HEIFERS
11737	CATTLE	
11788	CATS	
11788	DOGS	
11789	CATTLE	
11792	CATS	
11792	CATTLE	
11792	DOGS	
11792	HORSES	
11792	SHEEP	
11792	SWINE (PIGS)	
11799	CATTLE	BEEF CATTLE
11799	CATTLE	CALVES
11799	CATTLE	REPLACEMENT HEIFERS
11808	HORSES	
11809	CATTLE	BEEF CATTLE
11809	CATTLE	CALVES
11809	POULTRY	CHICKENS
11809	POULTRY	TURKEYS
11809	SHEEP	LAMB
11809	SWINE (PIGS)	
11823	DOGS	
11835	CATS	
11835	DOGS	
11836	CATTLE	BEEF CATTLE
11837	CATS	
11837	DOGS	
11838	CATS	
11838	DOGS	
11871	CATTLE	
11874	HORSES	
11875	HORSES	
11876	CATS	
11876	DOGS	
1189	HORSES	
11890	CATS	
11890	DOGS	
11905	CATTLE	CALVES
11920	CATTLE	
11920	HORSES	
11920	SWINE (PIGS)	
11924	HORSES	
11925	DOGS	
11973	CATTLE	
11973	SWINE (PIGS)	
120	CATTLE	BEEF CATTLE
120	SWINE (PIGS)	
1206	CATTLE	
1206	DOG OR CAT	
1206	HORSES	
1206	SHEEP	
1206	SWINE (PIGS)	
1207	CATTLE	
1207	SHEEP	
121	POULTRY	BROILER CHICKENS
121	POULTRY	REPLACEMENT CHICKENS
121	POULTRY	TURKEYS
121	SWINE (PIGS)	
1210	CATTLE	
1210	"CHINCHILLA, MINK"	
1210	DOG OR CAT	
1210	GENERAL - MISC.	
1210	HORSES	
1210	RABBIT	
1210	SHEEP	
1210	SWINE (PIGS)	
1210	"WILD ANIMALS (DEER, MOOSE, BISON)"	
1211	SWINE (PIGS)	PIGLETS
12146	CATTLE	
12173	CATTLE	COWS-LACTATING
1218	CATS	
1218	CATTLE	
1218	DOGS	
1218	GOATS	
1218	HORSES	
1218	SHEEP	
1218	SWINE (PIGS)	
12183	CATS	
12183	CATTLE	
12183	DOGS	
12183	GOATS	
12183	HORSES	
12183	SHEEP	
12183	SWINE (PIGS)	
12183	WILD/MISCELLANEOUS	
12184	CATTLE	
12184	DOG OR CAT	
12184	HORSES	
12184	SHEEP	
12184	SWINE (PIGS)	
1219	HORSES	
12193	CATS	
12193	DOGS	
12193	HORSES	
122	DOG OR CAT	
12204	DOGS	
12205	DOGS	
12222	CATS	
12222	DOGS	
12228	POULTRY	BROILER CHICKENS
12238	CATS	
12238	DOGS	
12243	HORSES	
1226	FINFISH	AQUARIUM FISH
12260	DOG OR CAT	
123	CATS	
