cohortId,cohortName
6960,"aurothiomalate exposures w 0d prior obsv, 30d gap"
6961,"avapritinib exposures w 0d prior obsv, 30d gap"
6962,"azacitidine exposures w 0d prior obsv, 30d gap"
6963,"azatadine exposures w 0d prior obsv, 30d gap"
6964,"azathioprine exposures w 0d prior obsv, 30d gap"
6965,"azelastine exposures w 0d prior obsv, 30d gap"
6966,"azelate exposures w 0d prior obsv, 30d gap"
6967,"azithromycin exposures w 0d prior obsv, 30d gap"
6968,"azlocillin exposures w 0d prior obsv, 30d gap"
6969,"aztreonam exposures w 0d prior obsv, 30d gap"
6970,"bacampicillin exposures w 0d prior obsv, 30d gap"
6971,"balsalazide exposures w 0d prior obsv, 30d gap"
6972,"basic aluminum carbonate gel exposures w 0d prior obsv, 30d gap"
6973,"basiliximab exposures w 0d prior obsv, 30d gap"
6975,"belatacept exposures w 0d prior obsv, 30d gap"
6976,"bendamustine exposures w 0d prior obsv, 30d gap"
6977,"benperidol exposures w 0d prior obsv, 30d gap"
6978,"benzoyl peroxide exposures w 0d prior obsv, 30d gap"
6979,"bepotastine exposures w 0d prior obsv, 30d gap"
6980,"besifloxacin exposures w 0d prior obsv, 30d gap"
6981,"betahistine exposures w 0d prior obsv, 30d gap"
6982,"betamethasone exposures w 0d prior obsv, 30d gap"
6983,"bexarotene exposures w 0d prior obsv, 30d gap"
6984,"Bezitramide exposures w 0d prior obsv, 30d gap"
6985,"bicalutamide exposures w 0d prior obsv, 30d gap"
6986,"bisacodyl exposures w 0d prior obsv, 30d gap"
6987,"bismuth subsalicylate exposures w 0d prior obsv, 30d gap"
6988,"bivalirudin exposures w 0d prior obsv, 30d gap"
6989,"boceprevir exposures w 0d prior obsv, 30d gap"
6992,"botulinum toxin type A exposures w 0d prior obsv, 30d gap"
6993,"brentuximab vedotin exposures w 0d prior obsv, 30d gap"
6994,"brexpiprazole exposures w 0d prior obsv, 30d gap"
6995,"bromocriptine exposures w 0d prior obsv, 30d gap"
6996,"bromperidol exposures w 0d prior obsv, 30d gap"
6997,"brompheniramine exposures w 0d prior obsv, 30d gap"
6998,"budesonide exposures w 0d prior obsv, 30d gap"
6999,"bupivacaine exposures w 0d prior obsv, 30d gap"
7000,"buprenorphine exposures w 0d prior obsv, 30d gap"
7001,"bupropion exposures w 0d prior obsv, 30d gap"
7002,"buspirone exposures w 0d prior obsv, 30d gap"
7003,"butabarbital exposures w 0d prior obsv, 30d gap"
7004,"butenafine exposures w 0d prior obsv, 30d gap"
7005,"butoconazole exposures w 0d prior obsv, 30d gap"
7006,"butorphanol exposures w 0d prior obsv, 30d gap"
7007,"cabazitaxel exposures w 0d prior obsv, 30d gap"
7008,"cabozantinib exposures w 0d prior obsv, 30d gap"
7009,"calcipotriene exposures w 0d prior obsv, 30d gap"
7010,"calcitriol exposures w 0d prior obsv, 30d gap"
7011,"calcium carbonate exposures w 0d prior obsv, 30d gap"
7012,"calcium polycarbophil exposures w 0d prior obsv, 30d gap"
7014,"cangrelor exposures w 0d prior obsv, 30d gap"
7015,"capecitabine exposures w 0d prior obsv, 30d gap"
7016,"capmatinib exposures w 0d prior obsv, 30d gap"
7017,"carbamazepine exposures w 0d prior obsv, 30d gap"
7018,"carbenicillin exposures w 0d prior obsv, 30d gap"
7019,"carbinoxamine exposures w 0d prior obsv, 30d gap"
7020,"carboplatin exposures w 0d prior obsv, 30d gap"
7021,"carisoprodol exposures w 0d prior obsv, 30d gap"
7022,"carmustine exposures w 0d prior obsv, 30d gap"
7023,"caspofungin exposures w 0d prior obsv, 30d gap"
7024,"castor oil exposures w 0d prior obsv, 30d gap"
7025,"cefaclor exposures w 0d prior obsv, 30d gap"
7026,"cefadroxil exposures w 0d prior obsv, 30d gap"
7027,"cefamandole exposures w 0d prior obsv, 30d gap"
7028,"cefazolin exposures w 0d prior obsv, 30d gap"
7029,"cefdinir exposures w 0d prior obsv, 30d gap"
7030,"cefditoren exposures w 0d prior obsv, 30d gap"
7031,"cefepime exposures w 0d prior obsv, 30d gap"
7032,"cefixime exposures w 0d prior obsv, 30d gap"
7033,"cefmetazole exposures w 0d prior obsv, 30d gap"
7034,"cefonicid exposures w 0d prior obsv, 30d gap"
7035,"cefotaxime exposures w 0d prior obsv, 30d gap"
7036,"cefoxitin exposures w 0d prior obsv, 30d gap"
7037,"cefpodoxime exposures w 0d prior obsv, 30d gap"
7038,"cefprozil exposures w 0d prior obsv, 30d gap"
7039,"ceftaroline fosamil exposures w 0d prior obsv, 30d gap"
7040,"ceftazidime exposures w 0d prior obsv, 30d gap"
7041,"ceftibuten exposures w 0d prior obsv, 30d gap"
7042,"ceftizoxime exposures w 0d prior obsv, 30d gap"
7043,"ceftriaxone exposures w 0d prior obsv, 30d gap"
7044,"cefuroxime exposures w 0d prior obsv, 30d gap"
7045,"celecoxib exposures w 0d prior obsv, 30d gap"
7046,"cephalexin exposures w 0d prior obsv, 30d gap"
7047,"cephalothin exposures w 0d prior obsv, 30d gap"
7048,"cephapirin exposures w 0d prior obsv, 30d gap"
7049,"cephradine exposures w 0d prior obsv, 30d gap"
7050,"certolizumab pegol exposures w 0d prior obsv, 30d gap"
7051,"chlorambucil exposures w 0d prior obsv, 30d gap"
7052,"chloramphenicol exposures w 0d prior obsv, 30d gap"
7053,"chlorcyclizine exposures w 0d prior obsv, 30d gap"
7054,"chlordiazepoxide exposures w 0d prior obsv, 30d gap"
7055,"chloroxine exposures w 0d prior obsv, 30d gap"
7056,"chlorphenesin exposures w 0d prior obsv, 30d gap"
7057,"chlorpheniramine exposures w 0d prior obsv, 30d gap"
7058,"chlorpromazine exposures w 0d prior obsv, 30d gap"
7059,"chlorpropamide exposures w 0d prior obsv, 30d gap"
7060,"chlorprothixene exposures w 0d prior obsv, 30d gap"
7062,"choline exposures w 0d prior obsv, 30d gap"
7063,"ciclopirox exposures w 0d prior obsv, 30d gap"
7064,"cimetidine exposures w 0d prior obsv, 30d gap"
7065,"cinnarizine exposures w 0d prior obsv, 30d gap"
7066,"cinoxacin exposures w 0d prior obsv, 30d gap"
7067,"ciprofloxacin exposures w 0d prior obsv, 30d gap"
7068,"cisatracurium exposures w 0d prior obsv, 30d gap"
7069,"cisplatin exposures w 0d prior obsv, 30d gap"
7070,"citalopram exposures w 0d prior obsv, 30d gap"
7072,"clarithromycin exposures w 0d prior obsv, 30d gap"
7073,"clemastine exposures w 0d prior obsv, 30d gap"
7074,"clindamycin exposures w 0d prior obsv, 30d gap"
7075,"clioquinol exposures w 0d prior obsv, 30d gap"
7076,"clobetasol exposures w 0d prior obsv, 30d gap"
7077,"clocortolone exposures w 0d prior obsv, 30d gap"
7078,"clofarabine exposures w 0d prior obsv, 30d gap"
7079,"clonazepam exposures w 0d prior obsv, 30d gap"
7080,"clonidine exposures w 0d prior obsv, 30d gap"
7081,"clopidogrel exposures w 0d prior obsv, 30d gap"
7082,"clotrimazole exposures w 0d prior obsv, 30d gap"
7083,"cloxacillin exposures w 0d prior obsv, 30d gap"
7084,"coal tar exposures w 0d prior obsv, 30d gap"
7085,"cobicistat exposures w 0d prior obsv, 30d gap"
7086,"codeine exposures w 0d prior obsv, 30d gap"
7087,"colesevelam exposures w 0d prior obsv, 30d gap"
7088,"conivaptan exposures w 0d prior obsv, 30d gap"
7089,"corticotropin exposures w 0d prior obsv, 30d gap"
7090,"cortisone exposures w 0d prior obsv, 30d gap"
7091,"cyclacillin exposures w 0d prior obsv, 30d gap"
7092,"cyclobenzaprine exposures w 0d prior obsv, 30d gap"
7093,"cyclophosphamide exposures w 0d prior obsv, 30d gap"
7094,"cycloserine exposures w 0d prior obsv, 30d gap"
7095,"cyclosporine exposures w 0d prior obsv, 30d gap"
7096,"cyproheptadine exposures w 0d prior obsv, 30d gap"
7097,"cytarabine exposures w 0d prior obsv, 30d gap"
7099,"daclizumab exposures w 0d prior obsv, 30d gap"
7100,"dactinomycin exposures w 0d prior obsv, 30d gap"
7101,"dalbavancin exposures w 0d prior obsv, 30d gap"
7102,"dalteparin exposures w 0d prior obsv, 30d gap"
7103,"danazol exposures w 0d prior obsv, 30d gap"
7104,"dantrolene exposures w 0d prior obsv, 30d gap"
7105,"dapagliflozin exposures w 0d prior obsv, 30d gap"
7106,"dapsone exposures w 0d prior obsv, 30d gap"
7107,"daptomycin exposures w 0d prior obsv, 30d gap"
7108,"darbepoetin alfa exposures w 0d prior obsv, 30d gap"
7109,"darifenacin exposures w 0d prior obsv, 30d gap"
7111,"daunorubicin exposures w 0d prior obsv, 30d gap"
7113,"dehydrocholate exposures w 0d prior obsv, 30d gap"
7114,"delavirdine exposures w 0d prior obsv, 30d gap"
7115,"demeclocycline exposures w 0d prior obsv, 30d gap"
7116,"denileukin diftitox exposures w 0d prior obsv, 30d gap"
7117,"desflurane exposures w 0d prior obsv, 30d gap"
7118,"desipramine exposures w 0d prior obsv, 30d gap"
7119,"desirudin exposures w 0d prior obsv, 30d gap"
7120,"desonide exposures w 0d prior obsv, 30d gap"
7121,"desoximetasone exposures w 0d prior obsv, 30d gap"
7122,"desvenlafaxine exposures w 0d prior obsv, 30d gap"
7123,"dexamethasone exposures w 0d prior obsv, 30d gap"
7124,"dexbrompheniramine exposures w 0d prior obsv, 30d gap"
7125,"dexchlorpheniramine exposures w 0d prior obsv, 30d gap"
7126,"dexlansoprazole exposures w 0d prior obsv, 30d gap"
7127,"dexmethylphenidate exposures w 0d prior obsv, 30d gap"
7128,"dextroamphetamine exposures w 0d prior obsv, 30d gap"
7129,"dextromoramide exposures w 0d prior obsv, 30d gap"
7130,"dezocine exposures w 0d prior obsv, 30d gap"
7131,"diazepam exposures w 0d prior obsv, 30d gap"
7132,"diclofenac exposures w 0d prior obsv, 30d gap"
7133,"dicloxacillin exposures w 0d prior obsv, 30d gap"
7134,"didanosine exposures w 0d prior obsv, 30d gap"
7135,"diflorasone exposures w 0d prior obsv, 30d gap"
7136,"diflunisal exposures w 0d prior obsv, 30d gap"
7137,"dihematoporphyrin ether exposures w 0d prior obsv, 30d gap"
7138,"dihydroergotamine exposures w 0d prior obsv, 30d gap"
7139,"dihydroxyaluminum aminoacetate exposures w 0d prior obsv, 30d gap"
7140,"dihydroxyaluminum sodium carbonate exposures w 0d prior obsv, 30d gap"
7141,"dimenhydrinate exposures w 0d prior obsv, 30d gap"
7142,"dimethyl fumarate exposures w 0d prior obsv, 30d gap"
7143,"dimethyl sulfoxide exposures w 0d prior obsv, 30d gap"
7144,"diphenhydramine exposures w 0d prior obsv, 30d gap"
7145,"diphenylpyraline exposures w 0d prior obsv, 30d gap"
7146,"dirithromycin exposures w 0d prior obsv, 30d gap"
7147,"disulfiram exposures w 0d prior obsv, 30d gap"
7148,"dobutamine exposures w 0d prior obsv, 30d gap"
7149,"docetaxel exposures w 0d prior obsv, 30d gap"
7150,"docusate exposures w 0d prior obsv, 30d gap"
7151,"dolasetron exposures w 0d prior obsv, 30d gap"
7152,"dolutegravir exposures w 0d prior obsv, 30d gap"
7153,"donepezil exposures w 0d prior obsv, 30d gap"
7154,"dopamine exposures w 0d prior obsv, 30d gap"
7156,"doxacurium exposures w 0d prior obsv, 30d gap"
