batch,item,i_name,value,v_name,cur_maps_to_id,cur_maps_to_name,cur_maps_to_value_id,cur_maps_to_value_name,new_maps_to_id,new_maps_to_name,new_maps_to_value_id,new_maps_to_value_name,new_value_as_number,new_unit_id,new_unit_name
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) * Bladder mucosa (excluding bullous edema) * Extension beyond true pelvis * Rectal mucosa * Urethra - Distant lymph node(s), NOS + All sites + Mediastinal...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) * Bladder mucosa * Fixed to pubic bone (pelvic bone) * Perineal body * Rectal mucosa * Urethra: upper/proximal two-thirds - Distant lymph node(s), NOS - P...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Blood/peripheral blood + Bone marrow + Extracutaneous non-lymph node disease present + Generalized skin involvement + Multiple lesions confined to disco...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Bone + Brain + Cartilage + Carotid artery + Deep extrinsic muscle of tongue * Genioglossus * Hyoglossus * Palatoglossus * Styloglossus + Dura + Lower cr...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Bone + Cartilage + Fascia + Lung + Other visceral sites + Skeletal muscle (excluding direct extension) + Skin or subcutaneous tissue beyond regional lym...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Bone + Central nervous system (CNS) + Lung + Skeletal muscle (including direct extension) + Skin or subcutaneous tissue beyond regional lymph nodes + Un...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Bone + Diaphragm + Liver + Lung + Pancreas + Spleen - Distant lymph node(s), NOS - Distant metastasis, NOS + Carcinomatosis + Distant metastasis WITH or...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Bone + Extension to or fixation to pelvic wall or pelvic bone + ""Frozen pelvis"", NOS + Other organs + Penis + Sigmoid colon + Soft tissue other than per...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Bone, NOS * Cartilage (mandible, maxilla, NOS) * Cortical bone (mandible, maxilla, NOS) * Mandible, NOS * Maxilla, NOS * Palatine, NOS * Trabecular bone...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Bone, NOS * Cartilage (mandible, maxilla, NOS) * Cortical bone (mandible, maxilla, NOS) * Trabecular bone (mandible, maxilla, palatine, NOS) + Deep (ext...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Bone, NOS + Cartilage, NOS + Cortical bone (mandible, maxilla, NOS) + Deep (extrinsic) muscle of tongue * Genioglossus * Hyoglossus * Palatoglossus * St...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Bone other than skull + Brain except for cranial nerve tumor(s) + Eye - Distant lymph node(s), NOS - Distant metastasis, NOS + Carcinomatosis + Distant ...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Brachial plexus + Cervical (neck) tissues + Contralateral lung + Contralateral pleura (direct contiguous extension) + Contralateral pleura/chest wall (d...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Brain + Central nervous system (CNS) + Nasal cavity + Nasolacrimal duct + Other craniofacial structures + Paranasal sinus - Distant lymph node(s), NOS -...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Brain + Cranial nerve involvement + Hypopharynx + Infratemporal fossa/masticator space + Intracranial extension, NOS + Orbit except bone of floor of orb...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Brain + Sinus - Distant lymph node(s), NOS - Distant metastasis, NOS + Carcinomatosis + Distant metastasis WITH or WITHOUT distant lymph node(s)",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Carotid artery (encased) + Cricoid cartilage + Esophagus + Extrinsic muscle(s) of tongue * Genioglossus * Geniohyoid * Hyoglossus * Mylohyoid * Palatogl...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Carotid artery (encased) + Cricoid cartilage + Esophagus + Extrinsic muscles of tongue * Genioglossus * Geniohyoid * Hyoglossus * Mylohyoid * Palatoglos...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Central nervous system + Eyelid(s) + Nasal cavity + Temporal fossa - Distant lymph node(s), NOS - Distant metastasis, NOS + Carcinomatosis + Distant met...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Cerebrospinal fluid + CNS parenchyma - Distant lymph node(s), NOS - Distant metastasis, NOS + Carcinomatosis + Distant metastasis WITH or WITHOUT distan...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Cervix uteri + Cul de sac (rectouterine pouch) + Omentum + Ovary, contralateral + Rectosigmoid + Sigmoid + Small intestine - Distant lymph node(s), NOS ...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Circulating cells in cerebral spinal fluid (CSF) + Nasal cavity + Nasopharynx + Other direct extension outside CNS + Posterior pharynx - Distant lymph n...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Cortical bone (maxilla) + Internal carotid artery (encased) + Masticator space + Maxilla, NOS + Maxillary sinus (antrum) + Pterygoid plates + Skull base...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Deep (extrinsic) muscle of tongue * Genioglossus * Hyoglossus * Palatoglossus * Styloglossus + Floor of nose + Internal carotid artery (encased) + Mandi...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Deep (extrinsic) muscles of tongue * Genioglossus * Geniohyoid * Hyoglossus * Mylohyoid * Palatoglossus * Styloglossus + Internal carotid artery (encase...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) - Distant lymph node(s), NOS - Distant metastasis, NOS + Carcinomatosis + Distant metastasis WITH or WITHOUT distant lymph node(s)",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant sites (including further contiguous extension) + Esophagus + External auditory meatus (submandibular and salivary gland only) + Intracranial invasion + Masticator space + Mediastinal structures + Nerves ...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Extrathoracic sites + Separate pleural or pericardial nodule(s) - Distant lymph node(s), NOS - Distant metastasis, NOS + Carcinomatosis + Distant metast...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Floor of mouth + Inferior alveolar nerve + Internal carotid artery (encased) + Masticator space + Nose + Pterygoid plates + Skin of face/neck + Skull ba...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Greater omentum (See code 2 for lesser omentum and omentum, NOS) + Pancreas + Pleura + Stomach - Distant lymph node(s), NOS + Aortic (para-aortic, peria...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Gross extrathyroidal extension invading * Bone * Mediastinal tissues * Prevertebral fascia * Skeletal muscle, other than strap or sternocleidomastoid mu...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Head and Neck subsites * Brain parenchymal invasion * Carotid artery encasement * Central compartment visceral * Central nervous system involvement via ...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Internal carotid artery (encased) + Masticator space + Maxillary sinus/antrum + Nasal cavity + Nose + Pterygoid plates + Skin of face + Skull base + Spe...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Jejunum and Ileum (C171, C172) * Bladder * Fallopian tube(s) * Ovary(ies) * Uterus - Distant lymph node(s), NOS + Celiac + Pericholedochal (jejunum and ...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Meninges - Distant lymph node(s), NOS + Mediastinal (excluding superior mediastinal node(s)) - Distant metastasis, NOS + Carcinomatosis + Distant metast...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Meninges - Distant lymph node(s), NOS + Mediastinal (excluding superior mediastinal node(s)) -Distant metastasis, NOS + Carcinomatosis + Distant metasta...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Multiple lesions in all THREE of following: viscera plus mucosa plus skin and/or connective tissue - Distant lymph node(s), NOS - Distant metastasis, NO...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Multiple (satellite) nodules on surface of liver parenchyma + Pancreas + Pleura + Stomach - Distant lymph node(s), NOS + Aortic (para-aortic, periaortic...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Nasal Cavity (C300) * Anterior cranial fossa (minimal extension) * Anterior orbital contents * Brain * Clivus * Cranial nerves (other than V2, maxillary...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant sites (including further contiguous extension) + Other adjacent organs, including * Bladder (excluding bladder neck) * Seminal vesicle(s) - Distant lymph node(s), NOS - Distant metastasis, NOS + Carcinom...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Other genital structure(s) by METASTASIS * Broad ligament * Cervix uteri * Corpus uteri * Fallopian tube(s) * Genital structure(s), NOS * Ovary(ies) * U...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) - Other organ(s) and structure(s) in male pelvis + Bladder + Bone (axial or appendicular skeleton) (scrotum only) + Rectum + Underlying cartilage (scrotum...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Other organ(s) of pelvis - Distant lymph node(s), NOS - Distant metastasis, NOS + Carcinomatosis + Distant metastasis WITH or WITHOUT distant lymph node(s)",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant sites (including further contiguous extension) + Periduodenal or peripancreatic soft tissue - Distant lymph node(s), NOS + At tail of pancreas + Para-aortic + Splenic - Distant metastasis, NOS + Carcinom...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Peritoneum (C481, C482, C488) * Colon (ascending and descending colon) - Distant lymph node(s), NOS - Distant metastasis, NOS + Carcinomatosis + Distant...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Pleura * Cervical (neck) tissues * Contralateral lung * Contralateral pleura * Intra-abdominal organs * Peritoneum * Pleural effusion - Distant lymph no...,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension) + Testis - Distant lymph node(s), NOS - Distant metastasis, NOS + Carcinomatosis + Distant metastasis WITH or WITHOUT distant lymph node(s)",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant site(s) (including further contiguous extension to other organs) + All sites * Adrenal gland/suprarenal gland * Gallbladder * Kidney * Liver, including porta hepatis * Mesenteric fat * Mesentery * Mesoco...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Distant sites + Non-contiguous involvement of other extranodal sites including, but not limited to * Breast * Gastrointestinal tract * Kidney * Liver * Lung * Parotid gland * Salivary gland * Spleen * Submandibu...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,"Distant site(s)/lymph node(s) involved - Lymphoplasmacytic lymphoma (9671) - Plasma cell myeloma (9732) + Multiple myeloma + Myeloma, NOS + Multiple extraosseous or extramedullary plasmacytomas + Multiple osseous or medullary plasmacytomas + Multiple p...",,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,SS2018,7,Distant site(s)/lymph node(s) involved - Systemic disease - See Note 6,,,,,36769180,Metastasis,9191,Positive,,,
764 SS2018 val=7 Positive,764,Summary Stage 2018,7,"Distant site(s) involved|- Distant site(s) (including further contiguous extension)| + MFCG Stage IV| * Bone marrow| * Involvement by at least one organ outside the skin, nodes, blood, or bone marrow| * Liver| * Spleen| * Visceral (non-cutaneous, extrano",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets val=00 Negative,776,EOD Mets,00,No distant metastases Unknown if distant metastases,,,,,36769180,Metastasis,9189,Negative,,,
776 EOD Mets val=00 Negative,776,EOD Mets,00,No distant metastasis,,,,,36769180,Metastasis,9189,Negative,,,
776 EOD Mets val=00 Negative,776,EOD Mets,00,No distant metastasis Unknown if distant metastasis,,,,,36769180,Metastasis,9189,Negative,,,
776 EOD Mets val=00 Negative,776,EOD Mets,00,No involvement of extranodal sites,,,,,36769180,Metastasis,9189,Negative,,,
776 EOD Mets val=00 Negative,776,EOD Mets,00,None No distant metastasis Unknown if distant metastasis,,,,,36769180,Metastasis,9189,Negative,,,
776 EOD Mets val=00 Negative,776,EOD Mets,00,"No visceral organ involvement No distant metastases Unknown if distant metastases Clinical confirmation only of visceral (non-cutaneous, extranodal) involvement - Except for liver and spleen imaging, see code 70",,,,,36769180,Metastasis,9189,Negative,,,
776 EOD Mets val=05 pleural Positive,776,EOD Mets,05,Malignant pleural effusion,,,,,36770024,Malignant pleural effusion,9191,Positive,,,
776 EOD Mets val=05 pleural Positive,776,EOD Mets,05,"No clinical or radiographic evidence of distant mets - Tumor cells found in circulating blood, bone marrow or other distant lymph node tissue - Less than or equal to 0.2 mm",,,,,36770024,Malignant pleural effusion,9191,Positive,,,
776 EOD Mets val=10 bone only Positive,776,EOD Mets,10,Bone metastasis only,,,,,36769301,Metastasis to bone,9191,Positive,,,
776 EOD Mets val=35 spinal Positive,776,EOD Mets,35,Visible metastasis in spine OR Visible metastasis in cervicomedullary (junction) Metastasis within CNS and CSF pathways * Carcinomatous meningitis * Drop metastasis * Leptomeningeal metastases * Meningeal carcinomatosis,,,,,35225743,Metastasis to spinal cord,9191,Positive,,,
776 EOD Mets val=60 liver+other Positive,776,EOD Mets,60,"Liver WITH other distant metastasis (10) + (20, 40 or 50)",36769180,Metastasis,,,36770544,Metastasis to liver,9191,Positive,,,
776 EOD Mets val=60 liver+other Positive,776,EOD Mets,60,"Liver WITH other distant metastasis (10) + (20, 40 or 50)",36770544,Metastasis to liver,,,36770544,Metastasis to liver,9191,Positive,,,
776 EOD Mets val=60 liver+other Positive,776,EOD Mets,60,"Liver WITH other distant metastasis (10) + (20, 40 or 50)",,,,,36770544,Metastasis to liver,9191,Positive,,,
776 EOD Mets val=70 CNS/CSF Positive,776,EOD Mets,70,Metastasis within CNS and CSF pathways * Carcinomatous meningitis * Drop metastasis * Leptomeningeal metastases * Meningeal carcinomatosis Metastasis outside the CNS * Extra-neural metastasis Carcinomatosis Distant metastasis WITH or WITHOUT distant ly...,36769180,Metastasis,,,35226096,Metastasis to central nervous system,9191,Positive,,,
776 EOD Mets val=70 CNS/CSF Positive,776,EOD Mets,70,Metastasis within CNS and CSF pathways * Carcinomatous meningitis * Drop metastasis * Leptomeningeal metastases * Meningeal carcinomatosis Metastasis outside the CNS * Extra-neural metastasis Carcinomatosis Distant metastasis WITH or WITHOUT distant ly...,,,,,35226096,Metastasis to central nervous system,9191,Positive,,,
776 EOD Mets val=70 CNS/CSF Positive,776,EOD Mets,70,Metastasis within CNS and CSF pathways * Carcinomatous meningitis * Drop metastasis * Leptomeningeal metastases * Meningeal carcinomatosis Metastasis outside the CNS * Extra-neural metastasis Carcinomatosis Distant metastasis WITH or WITHOUT distant ly...,35226096,Metastasis to central nervous system,,,35226096,Metastasis to central nervous system,9191,Positive,,,
776 EOD Mets val=70 CNS/CSF Positive,776,EOD Mets,70,Metastasis within CNS and CSF pathways * Carcinomatous meningitis * Drop metastasis * Leptomeningeal metastases * Meningeal carcinomatosis Metastasis outside the CNS * Extra-neural metastasis Carcinomatosis Distant metastasis WITH or WITHOUT distant ly...,35225743,Metastasis to spinal cord,,,35226096,Metastasis to central nervous system,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,05,"No clinical or radiographic evidence of distant mets - Tumor cells found in circulating blood, bone marrow or other distant lymph node tissue - Less than or equal to 0.2 mm",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,05,Malignant pleural effusion,,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,Liver (including liver parenchymal nodule(s)),,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,Pleural effusion with positive cytology FIGO Stage IVA,,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,Distant lymph node(s) and/or other distant metastasis AND size of distant metastasis less than or equal to 3 cm,,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Distant lymph node(s) * Aortic (lateral [lumbar], para-aortic, periaortic, NOS) * Cervical * Common iliac * Inguinal (deep, NOS) - Node of Cloquet or Rosenmuller (highest deep inguinal) - Superficial (femoral) * Retroperitoneal, NOS * Scalene (inferior...",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Distant lymph node(s) - Aortic (para-aortic, periaortic) - Cardiac - Coronary artery - Diaphragmatic, NOS - Lateral (aortic) (lumbar) - Pericardial (pericardiac) - Peripancreatic (near head of pancreas only) - Posterior mediastinal (tracheoesophageal) ...",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Distant lymph node(s) - Aortocaval - Aortic (para-aortic, periaortic) - Cardiac - Caval (inferior vena cava) - Celiac - Diaphragmatic, NOS - Lateral (aortic) (lumbar) - Pericardial (pericardiac) - Posterior mediastinal (tracheoesophageal) including jux...",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Distant lymph node(s) - Axillary (contralateral or bilateral) - Cervical, NOS - Fixed/matted axillary (level I and II) (contralateral or bilateral) - Infraclavicular (subclavicular) (contralateral or bilateral) - Internal mammary (parasternal) (contral...",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Distant lymph node(s) - Common hepatic (18) - Splenic (19) Esophagus GE Junction - Hepatoduodenal - Mesenteric, NOS + Inferior mesenteric + Superior mesenteric - Para-aortic - Porta hepatis (portal) (hilar) (in hilus of liver) - Retropancreatic - Retro...",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Distant lymph node(s), including - Intra-abdominal - Mesenteric (inferior, superior, NOS) - Middle colic - Pancreaticoduodenal (all subsites EXCEPT greater curvature) - Para-aortic - Porta hepatic (portal) (hilar) (in hilus of liver) - Retropancreatic ...",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Pericardial effusion or pleural effusion (malignant) * Ipsilateral, contralateral, bilateral, NOS) Pleural tumor foci or nodules on ipsilateral lung (separate from direct extension) or contralateral lung Pericardial nodules Contralateral lung/main stem...",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Pericardial effusion or pleural effusion (malignant) (ipsilateral, contralateral, bilateral, NOS) Pleural tumor foci or nodules on ipsilateral lung (separate from direct extension) or contralateral lung Pericardial nodules Contralateral lung/main stem ...",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Non-contiguous involvement of tissues or organs external to the ocular adnexa (excluding bone marrow), including but not limited to - Breast - Gastrointestinal tract - Kidney - Liver - Lung - Parotid gland - Salivary gland - Spleen - Submandibular gland",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Distant lymph node(s) Pancreas Head (C250) (see EOD Regional Nodes for all other sites) - Celiac Pancreas Body Tail (C251-C252) - Common bile duct (pericholedochal) - Porta hepatic - Pyloric (infrapyloric, retropyloric, subpyloric, suprapyloric, NOS)",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Distant lymph node(s) * Pelvic, NOS + Iliac, NOS + Common + External + Internal (hypogastric) (obturator) + Paracervical + Parametrial + Sacral, NOS + Lateral (laterosacral) + Middle (promontorial) (Gerota's node) + Presacral + Uterosacral",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Distant lymph node(s) - WITHOUT previous scrotal or inguinal surgery OR UNKNOWN if previous scrotal or inguinal surgery + External iliac + Pelvic, NOS",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,Lung FIGO Stage III,,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,Lung,,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,Intraperitoneal acellular mucin - WITHOUT peritoneal mucinous deposits containing tumor cells or UNKNOWN,,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,Bone metastasis only,,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,"Carcinomatosis, CLINICAL or UNKNOWN confirmation",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,Separate pleural or pericardial nodule(s),,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,10,Distant lymph node(s),,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,15,Tumor cells in the CSF * Circulating cells in cerebral spinal fluid (CSF),,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,20,"Distant lymph nodes Pancreas Head (C250) - Celiac Pancreas Body Tail (C251-C252) - Pericholedochal (common bile duct) - Porta hepatic - Pyloric (infrapyloric, retropyloric, subpyloric, suprapyloric)",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,20,"Distant lymph node(s) Pancreas Head (C250) - Gastroepiploic (gastro-omental, left) - Pancreaticosplenic (pancreaticolienal) - Splenic (artery, hilum, lineal) - Suprapancreatic Pancreas Body and Tail (C251-C252) - Lateral wall (right) - Portal vein All ...",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,20,"Distant metastasis (excluding Lung, CNS) * Bone (excluding contiguous extension) * Skeletal muscle (excluding contiguous extension) * Skin or subcutaneous tissue beyond regional lymph nodes * Underlying cartilage (excluding contiguous extension) WITH o...",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,20,SINGLE distant organ (except peritoneum),,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,20,"Distant lymph node(s) - Colon + Iliac (common, external, hypogastric, internal, obturator, NOS) + Inferior mesenteric (cecum, ascending colon, hepatic flexure, transverse colon) + Para-aortic + Retroperitoneal + Superior mesenteric - Rectosigmoid + Hem...",,,,,36769180,Metastasis,9191,Positive,,,
776 EOD Mets remaining positive non-LN,776,EOD Mets,25,"Intracranial spread beyond a single lesion All sites - Bone (skull) (see code 45 for other bone involvement) - Major blood vessel(s) - Meninges (e.g., dura) - Multiple/multifocal tumors - Nerves (cranial, NOS) - Tumor invades or encroaches upon ventric...",,,,,36769180,Metastasis,9191,Positive,,,
