CONCEPT_NAME	CONCEPT_ID_2
HYPOPHOSPHOROUS ACID	43526754
HYPOPHYSIS	36879044
HYPOPHYSIS	36879071
HYPROLOSE	40220879
IBANDRONIC ACID	1512480
IGNATIA AMARA	36878930
ILEX AQUIFOLIUM	42899085
IMMUNOGLOBULIN ANTI-D (RHO)	36878861
IMMUNOGLOBULIN BASE	19117912
IMMUNOGLOBULIN BASE	42903696
IMMUNOGLOBULIN BASE	43531966
IMMUNOGLOBULIN BASE	44012674
INSULIN UNSPECIFIED BASE	1516976
INTERFERON (UNSPECIFIED)	713196
INTERFERON (UNSPECIFIED)	722424
INTERFERON (UNSPECIFIED)	1379969
INTERFERON (UNSPECIFIED)	1380068
INTERFERON (UNSPECIFIED)	1380191
INTERFERON (UNSPECIFIED)	1385645
INTERFERON (UNSPECIFIED)	1781314
INTERFERON (UNSPECIFIED)	19044394
INTERFERON (UNSPECIFIED)	19122123
INTERFERON (UNSPECIFIED)	42903737
IODINATED POPPYSEED OIL	19109079
IOPODIC ACID	19081385
IOXAGLIC ACID	19081316
IPRATROPIUM BROMIDE	1112921
ISOBORNEOL	43013518
ISOPRENALINE	1183554
ISOPROPAMIDE IODIDE	19058613
ISOSORBIDE MONONITRATE	1383815
JUGLANS REGIA	42903987
KELUAMID	950098
KERATIN	36878762
LABLAB PURPUREUS	44012613
LACTIC FERMENTS	987128
LACTOPROTEINES METHYLENIQUES	36879083
LACTOSERUM	35606401
LAURYL ETHER SULFATES	36878845
LAVANDULA HYBRIDA	42899497
LAVANDULA HYBRIDA	43526229
LAVANDULA LATIFOLIA	42899497
LAVANDULA LATIFOLIA	43526229
LAWSONIA INERMIS	42899500
LAWSONIA INERMIS	45776116
LEPIDIUM SATIVUM	35604867
LEPIDIUM SATIVUM	44818478
LEPIDIUM SATIVUM	46221692
LEPTANDRA VIRGINICA	42904295
LEUCOCIANIDOL	19007536
LEVOMENOL	19018634
LEVOMEPROMAZINE	19005147
LEVOTHYROXINE SODIUM	1501700
LINALOOL	43012184
LINOLEIC ACID	19100751
CHENODEOXYCHOLIC ACID	19052447
CHLORMETHINE	1394337
CHLORPHENAMINE	1192710
CHONDODENDRON TOMENTOSUM	42904050
CHONDROITINASE	1395573
CHONDROITINASE	42903714
CHORIOGONADOTROPIN ALFA	1563600
CHRYSANTHEMUM BALSAMITA	42898856
CIBENZOLINE	19045581
CICHORIUM INTYBUS	42898858
CICHORIUM INTYBUS	45774904
CIMICIFUGA RACEMOSA	36879176
CINCHOCAINE	923840
CINEOLE	19050346
CINNAMEIN	46234461
CINNAMOMUM CAMPHORA	42898866
CINNAMOMUM CAMPHORA	44785623
CINNAMOMUM CAMPHORA	45776124
CINNAMOMUM ZEYLANICUM	1307310
CITRULLUS COLOCYNTHIS	42898910
CITRULLUS COLOCYNTHIS	42904264
CITRULLUS COLOCYNTHIS	46276344
CITRUS AURANTIUM	42898445
CITRUS AURANTIUM	42898446
CITRUS AURANTIUM	42898447
CITRUS AURANTIUM	42898449
CITRUS AURANTIUM	42898920
CITRUS DECUMANA	43012368
CITRUS LIMONUM	42898450
CITRUS SINENSIS	1718365
CITRUS SINENSIS	42898458
CITRUS SINENSIS	42898459
CITRUS SINENSIS	43526055
CITRUS SINENSIS	43560687
CITRUS SINENSIS	46276373
CLAVULANIC ACID	1759842
CLAY	36878664
CLAY	36878804
CLEMATIS	1197677
CLEMATIS	40220733
CLEMATIS	42898935
CLEMATIS	42898937
CLEMATIS	42898938
CLEMATIS	42904226
COCHLEARIA ARMORACIA	36878901
COLA NITIDA	19070922
COLA NITIDA	42898905
COLCHICUM AUTOMNALE	42904136
COLCHICUM AUTOMNALE	44784745
CORN REMOVER	964407
CORYDALIS	42898953
CORYDALIS	42903568
CORYDALIS	43525924
CORYDALIS	43560136
CORYDALIS	45775964
CORYDALIS	46234073
CORYLUS AVELLANA	46221516
COUMAROUNA ODORATA	42899077
CROCUS SATIVUS	35605668
CROTON ELUTERIA	35602850
CUBEBA	44507595
CUPRESSUS SEMPERVIRENS	42898847
CUPRESSUS SEMPERVIRENS	42898848
CUPRESSUS SEMPERVIRENS	42904266
CUPRESSUS SEMPERVIRENS	44507521
CUPRESSUS SEMPERVIRENS	44784736
CYCLAMEN	43526478
CYMBOPOGON WINTERIANUS	36250040
CYPRIPEDIUM PUBESCENS	42904064
D-FENCHONE	36879058
DALTEPARIN SODIUM	1301065
DANTRON	19086560
DECANEDIOL	42898181
DEXKETOPROFEN TROMETAMOL	19056874
DEXTRAN SULFATE	1352890
DIACEREIN	19088915
DIHYDROARTEMISININ	36878956
DIHYDROXYALUMINIUM	989727
DIHYDROXYALUMINIUM	19089733
DIHYDROXYDIBUTYL ETHER	19019950
DIOSCOREA	42899036
DIOSCOREA	42899037
DIOSCOREA	42899038
DIOSCOREA	46221697
DIPIVEFRINE	990009
DIPROPHYLLINE	1140088
DITHRANOL	952538
DODECLONIUM	36878945
DOSULEPIN	36878621
DROPROPIZINE	19054993
DROSTANOLONE	19056571
ENOXAPARIN SODIUM	1301025
ERICA CINEREA	36878862
ERYSIMUM DIFFUSUM	19082733
ESDEPALLETHRINE	19113031
ESLICARBAZEPINE ACETATE	44507780
ETHYLDIETHYLENEGLYCOL	42900243
ETIDRONIC ACID	1552929
EUGENIA CUMINI	1718916
EUGENIA CUMINI	42900200
EUPHAUSIA SUPERBA	40168296
EUSPONGIA OFFICINALIS	42900102
EUSPONGIA OFFICINALIS	42900103
FAT	36879001
FERULA ASSA FOETIDA	42898966
FERULA ASSA FOETIDA	43526176
FERULIC ACID	43014099
FICUS CARICA	43012683
FICUS CARICA	43533024
FICUS CARICA	44506757
FILIPENDULA ULMARIA	42898978
FILIPENDULA ULMARIA	42898979
FILIPENDULA ULMARIA	42898981
FILIPENDULA ULMARIA	42903486
FISH	19110701
FLUCLOROLONE ACETONIDE	19009949
FLUMETASONE	19055156
FLUOCINOLONE ACETONIDE	996541
FLUPENTIXOL	19055982
FLUTICASONE FUROATE	1149380
FONDAPARINUX SODIUM	1315865
FOSFOMYCIN TROMETAMOL	956653
FRUCTOOLIGSACCHARIDES	19066563
FUMARIC ACID	19126510
FUSAFUNGINE	19097405
FUSIDIC ACID	19010400
GAFFKYA TETRAGENA	36878900
GALEGA OFFICINALIS	1718821
GAMOLENIC ACID	19070929
GARCINIA HANBURYI	42899262
GARCINIA HANBURYI	19065811
GLATIRAMER ACETATE	751889
GLUCURONAMIDE	19080431
GLUTAMIC ACID	43533055
GLYCOLIC ACID	911638
GONOLOBUS CUNDURANGO	35605671
GONOLOBUS CUNDURANGO	42899365
GRIFFONIA SIMPLICIFOLIA	19066601
GRINDELIA ROBUSTA	42899205
GRINDELIA ROBUSTA	44816301
HAMAMELIS VIRGINIANA	42899153
HAMAMELIS VIRGINIANA	42899154
HAMAMELIS VIRGINIANA	42899155
HAMAMELIS VIRGINIANA	42899156
HAMAMELIS VIRGINIANA	42899158
HAMAMELIS VIRGINIANA	42899159
HAMAMELIS VIRGINIANA	42903910
HEDERA HELIX	42899164
HELIANTHUS ANNUUS	42899169
HELIANTHUS ANNUUS	42899170
LINOLENIC ACID	19122135
LINUM USITATISSIMUM	35603444
LIPIDS	36879001
LOPRAZOLAM	19042550
LUPULIN	1398499
LYCOPERSICON ESCULENTUM	43013842
LYCOPERSICON ESCULENTUM	46234076
LYCOPODIUM	19070956
LYCOPODIUM	42899361
LYCOPODIUM	43560577
LYCOPODIUM	44784857
LYCOPODIUM	45774479
LYCOPUS EUROPAEUS	42899362
LYTHRUM SALICARIA	36878616
MACADAMIA	42899391
MADECASSOSIDE	19033691
MAGNOLIA	40220703
MAGNOLIA	42899327
MAGNOLIA	42899328
MAGNOLIA	42899329
MAGNOLIA	42899330
MAGNOLIA	42899331
MAGNOLIA	42899332
MAGNOLIA	42899333
MAGNOLIA	42899334
MAGNOLIA	42899335
MAGNOLIA	42903443
MAGNOLIA	45775033
MAGNOLIA	46233908
MAJOR VINCA	45775041
MALPIGHIA PUNICIFOLIA	43013150
MALVA PURPUREA	36249161
MALVA PURPUREA	42899348
MALVA PURPUREA	42899349
MALVA PURPUREA	42899350
MALVA PURPUREA	46275670
MALVA SYLVESTRIS	36249161
MALVA SYLVESTRIS	42899348
MALVA SYLVESTRIS	42899350
MALVA SYLVESTRIS	46275670
MECLOZINE	994341
MEFENAMIC ACID	1197736
MEGLUMINE AMIDOTRIZOATE	19022596
MELALEUCA ALTERNIFOLIA	42899420
MELALEUCA ALTERNIFOLIA	43560198
MELALEUCA ALTERNIFOLIA	44785700
MENTHA ARVENSIS	42899377
MENTHA ARVENSIS	42899378
MENTHA ARVENSIS	42903911
MENTHA ARVENSIS	44814341
MENTHA ARVENSIS	45892785
MENTHA VIRIDIS	45892217
MEPHITIS MEPHITIS	42899383
